"AdjWEPADiff","Team","Season","LatestWeek"
-4.32932101834229,"ATL",2021,5
-15.813455426183,"ATL",2021,5
-5.94694149638312,"ATL",2021,5
-8.11853212248467,"ATL",2021,5
-4.48211775285121,"ATL",2021,5
-8.54717818300824,"ATL",2021,5
-5.08163390096851,"ATL",2021,5
-11.4133913210572,"ATL",2021,5
-14.4966856100626,"ATL",2021,5
-3.52756908901997,"ATL",2021,5
-5.6384527258923,"ATL",2021,5
-8.54842550240056,"ATL",2021,5
-2.21733672513083,"ATL",2021,5
-12.4624391933588,"ATL",2021,5
-7.28077228063438,"ATL",2021,5
-2.15995325972073,"ATL",2021,5
-9.10922525245168,"ATL",2021,5
-6.7763485453765,"ATL",2021,5
-10.632051867288,"ATL",2021,5
-10.3372968070572,"ATL",2021,5
-9.72425943144064,"ATL",2021,5
-13.5243994354303,"ATL",2021,5
-9.52864470472636,"ATL",2021,5
-14.3830176051313,"ATL",2021,5
-9.26308673359982,"ATL",2021,5
-12.0826095565748,"ATL",2021,5
-9.70665011645505,"ATL",2021,5
-7.54339088364946,"ATL",2021,5
-10.5205426200356,"ATL",2021,5
-7.20402765841667,"ATL",2021,5
-5.0043891979004,"ATL",2021,5
-12.9662750718762,"ATL",2021,5
-5.60708321764815,"ATL",2021,5
-2.62009767158153,"ATL",2021,5
-8.21944527717675,"ATL",2021,5
-15.0470421639029,"ATL",2021,5
-8.48698907730843,"ATL",2021,5
-7.69412486760637,"ATL",2021,5
-8.96803341843431,"ATL",2021,5
-14.5427373624573,"ATL",2021,5
-13.9832878031355,"ATL",2021,5
-0.950338925069202,"ATL",2021,5
-6.77388456398919,"ATL",2021,5
-17.7324994575093,"ATL",2021,5
-17.1036764025153,"ATL",2021,5
-6.97936389536426,"ATL",2021,5
-14.4913706419728,"ATL",2021,5
0.725836186374795,"ATL",2021,5
-14.0813455419539,"ATL",2021,5
-17.6870469725755,"ATL",2021,5
-8.18510097073361,"ATL",2021,5
-13.0015360912768,"ATL",2021,5
-3.59742543103854,"ATL",2021,5
-12.8402325547889,"ATL",2021,5
-0.782246285354088,"ATL",2021,5
-11.420904971799,"ATL",2021,5
-8.43890134969347,"ATL",2021,5
-13.6286954066656,"ATL",2021,5
