"game_id","team","opponent","game_week","WEPADiff","prev_season_data","season","week","week_diff"
"2019_04_JAX_DEN","DEN","JAX",4,-2.13477162724662,0,2019,4,0
"2019_04_JAX_DEN","JAX","DEN",4,2.13477162724662,0,2019,4,0
"2019_04_KC_DET","DET","KC",4,0.0360381714765339,0,2019,4,0
"2019_04_KC_DET","KC","DET",4,-0.0360381714765339,0,2019,4,0
"2019_04_LAC_MIA","LAC","MIA",4,25.4413351607639,0,2019,4,0
"2019_04_LAC_MIA","MIA","LAC",4,-25.4413351607639,0,2019,4,0
"2019_04_MIN_CHI","CHI","MIN",4,9.97950002271863,0,2019,4,0
"2019_04_MIN_CHI","MIN","CHI",4,-9.97950002271863,0,2019,4,0
"2019_04_NE_BUF","BUF","NE",4,-14.7520445096785,0,2019,4,0
"2019_04_NE_BUF","NE","BUF",4,14.7520445096785,0,2019,4,0
"2019_04_OAK_IND","IND","LV",4,-15.5744591386641,0,2019,4,0
"2019_04_OAK_IND","LV","IND",4,15.5744591386641,0,2019,4,0
"2019_04_PHI_GB","GB","PHI",4,-4.39475569540916,0,2019,4,0
"2019_04_PHI_GB","PHI","GB",4,4.39475569540916,0,2019,4,0
"2019_04_SEA_ARI","ARI","SEA",4,-26.1921423861556,0,2019,4,0
"2019_04_SEA_ARI","SEA","ARI",4,26.1921423861556,0,2019,4,0
"2019_04_TB_LAR","LA","TB",4,-23.1881221395349,0,2019,4,0
"2019_04_TB_LAR","TB","LA",4,23.1881221395349,0,2019,4,0
"2019_04_TEN_ATL","ATL","TEN",4,-18.114034910616,0,2019,4,0
"2019_04_TEN_ATL","TEN","ATL",4,18.114034910616,0,2019,4,0
"2019_04_WAS_NYG","NYG","WAS",4,18.492779794433,0,2019,4,0
"2019_04_WAS_NYG","WAS","NYG",4,-18.492779794433,0,2019,4,0
