game_id,team,opponent,season,game_number,margin,margin_against,epa,epa_against,epa_net,epa_net_opponent,wepa,d_wepa_against,wepa_net,wepa_against,d_wepa,wepa_net_opponent
2000_11_BAL_TEN,BAL,TEN,2000,11.0,1.0,-1.0,5.534216888007837,3.129144382421988,2.405072505585849,-2.405072505585849,-6.748435932652813,4.806401282032737,-11.55483721468555,12.659387302489725,0.352131649477258,12.307255653012463
2000_12_DAL_BAL,BAL,DAL,2000,12.0,27.0,-27.0,10.090896732427542,-17.494636621820973,27.585533354248515,-27.585533354248515,3.582213615806132,-25.34300212970787,28.925215745514,-22.82100664504805,3.599402247320392,-26.42040889236844
2000_13_CLE_BAL,BAL,CLE,2000,13.0,37.0,-37.0,19.841317206995463,-16.67398561250383,36.5153028194993,-36.5153028194993,12.474907788570006,-16.911958761300433,29.38686654987044,-19.493255552514466,19.78244805235673,-39.2757036048712
2000_15_LAC_BAL,BAL,LAC,2000,14.0,21.0,-21.0,-0.1355970529339849,-20.86942747159628,20.733830418662297,-20.733830418662297,-8.65736892707966,-17.896480718536697,9.239111791457038,-14.398516949856685,3.513036240754112,-17.911553190610796
2000_16_BAL_ARI,BAL,ARI,2000,15.0,6.0,-6.0,-12.43510888500686,-21.056604449940725,8.621495564933866,-8.621495564933866,-8.756976680599369,-24.816852117556337,16.05987543695697,-19.132201484846977,-13.62515397694437,-5.507047507902607
2000_17_NYJ_BAL,BAL,NYJ,2000,16.0,14.0,-14.0,-18.11219744203204,-28.736213059174933,10.6240156171429,-10.6240156171429,-25.73730235991604,-25.596871834331576,-0.1404305255844598,-16.185298421888078,-29.073413294438595,12.888114872550515
2000_01_TEN_BUF,BUF,TEN,2000,1.0,3.0,-3.0,-8.955207092961874,-10.677826077922592,1.722618984960718,-1.722618984960718,-15.817456720923389,-9.807833372838378,-6.009623348085011,-13.175209381388598,-14.21422374041208,1.039014359023481
2000_02_GB_BUF,BUF,GB,2000,2.0,9.0,-9.0,8.555708866790997,-1.5167899064231856,10.072498773214182,-10.072498773214182,-0.6408714572514855,0.3984358311230711,-1.0393072883745569,-1.5527116800282688,4.580456794191176,-6.1331684742194446
2000_03_BUF_NYJ,BUF,NYJ,2000,3.0,-13.0,13.0,0.0534410784936136,11.722275986327915,-11.668834907834302,11.668834907834302,-1.1559159655262194,8.153079711251035,-9.308995676777254,0.6630740330425391,-5.865879106996967,6.528953140039507
2000_05_IND_BUF,BUF,IND,2000,4.0,-2.0,2.0,-4.405462050735597,7.674510990693587,-12.079973041429184,12.079973041429184,-0.5208889596054893,10.508070393341873,-11.02895935294736,7.633576563805059,-0.8274146314180687,8.460991195223128
2000_07_LAC_BUF,BUF,LAC,2000,6.0,3.0,-3.0,-15.520982003662606,-4.58266321681101,-10.938318786851596,10.938318786851596,-18.03417914462259,-0.6306840960308353,-17.403495048591758,-5.24033790864568,-20.1399463711193,14.89960846247362
2000_08_BUF_MIN,BUF,MIN,2000,7.0,-4.0,4.0,7.662080142426465,9.067242730126049,-1.405162587699582,1.405162587699582,6.96456096031514,11.747466206174469,-4.782905245859329,9.944809073638387,7.665116000215336,2.2796930734230525
2000_09_NYJ_BUF,BUF,NYJ,2000,8.0,3.0,-3.0,1.1978950908857042,4.071819224020707,-2.873924133135003,2.873924133135003,5.299925763789632,8.519556490956512,-3.219630727166881,1.9658977661043624,3.1222887129834804,-1.156390946879118
2000_10_BUF_NE,BUF,NE,2000,9.0,3.0,-3.0,-5.128338855761914,-9.664339799708332,4.536000943946419,-4.536000943946419,2.0273004800618,-15.119568752593466,17.146869232655266,-10.966099371803464,-2.77487804811058,-8.191221323692883
2000_11_CHI_BUF,BUF,CHI,2000,10.0,17.0,-17.0,-24.430786975160466,-23.97905047069071,-0.451736504469757,0.451736504469757,-29.97777210860549,-19.87095498574772,-10.10681712285777,-31.14937156627607,-32.97247618176953,1.82310461549346
2000_12_BUF_KC,BUF,KC,2000,11.0,4.0,-4.0,11.41653331931346,5.560248659578626,5.856284659734834,-5.856284659734834,6.697024927827334,8.220935254060608,-1.523910326233274,6.2011634362246735,7.270808071459931,-1.0696446352352575
2000_13_BUF_TB,BUF,TB,2000,12.0,-14.0,14.0,-3.955307733699902,8.776456072993128,-12.73176380669303,12.73176380669303,-1.3880678794521402,4.314586875552785,-5.702654755004925,0.2740628630461527,-5.226283228600572,5.500346091646724
2000_14_MIA_BUF,BUF,MIA,2000,13.0,-27.0,27.0,-42.489465214792176,8.232729049041993,-50.72219426383417,50.72219426383417,-37.64876217622622,7.928001059176786,-45.57676323540301,13.73483205393278,-45.87555549100541,59.61038754493819
2000_15_BUF_IND,BUF,IND,2000,14.0,-24.0,24.0,-15.427916385960764,6.755621574141042,-22.183537960101805,22.183537960101805,-20.0149321311658,3.180146812813652,-23.195078943979446,1.726143458774677,-7.052100511874918,8.778243970649594
2000_16_NE_BUF,BUF,NE,2000,15.0,-3.0,3.0,-24.39087027201976,-9.053669163795067,-15.33720110822469,15.33720110822469,-21.628141910662933,-18.823349516027207,-2.804792394635726,-17.72584719888708,-31.194528781649755,13.468681582762674
2000_17_BUF_SEA,BUF,SEA,2000,16.0,19.0,-19.0,30.85767206216211,7.323187577440645,23.534484484721464,-23.534484484721464,28.666025208480963,15.41741389516097,13.248611313319994,6.4432325325271504,23.62992007416336,-17.18668754163621
2000_01_CAR_WAS,CAR,WAS,2000,1.0,-3.0,3.0,0.7362325453765308,1.2100088269549962,-0.4737762815784654,0.4737762815784654,-6.976101804473545,-3.1484482630442843,-3.827653541429261,-5.617194116930779,-2.8181018674856544,-2.799092249445125
2000_02_CAR_SF,CAR,SF,2000,2.0,16.0,-16.0,22.848992095237502,2.778995586578045,20.069996508659457,-20.069996508659457,16.60212168198336,2.8390294659629864,13.763092216020372,1.080122267732715,20.20266844695165,-19.12254617921894
2000_03_ATL_CAR,CAR,ATL,2000,3.0,-5.0,5.0,-24.287588876771853,-17.825224157464337,-6.462364719307516,6.462364719307516,-35.38160817749082,-24.368717071764504,-11.012891105726316,-24.752018337159768,-34.43320722777275,9.68118889061298
2000_05_DAL_CAR,CAR,DAL,2000,4.0,-3.0,3.0,-3.190713860339831,1.0507156748645936,-4.241429535204425,4.241429535204425,7.180197086249519,-2.57215263637894,9.75234972262846,-2.549016128215916,-0.9689167337169804,-1.580099394498935
